content,news_id,org_list
氣動元件廠台灣氣立持續接獲自動化及電子業訂單，上半年EPS回升至189元，創近6年同期新高，7月合併營收194億元，創單月次高。氣立預期景氣復甦，下半年營運會比去年同期顯著增長，今日下午將參加富邦證券主辦法說會，將對外說明上半年財報及未來展望。氣立第二季合併營收回升至573億元，本業獲利108億元，淨利歸屬母公司為082億元，EPS從去年同期071元增至123元。上半年合併營收1021億元，本業獲利173億元，稅後淨利倍增至131億元，淨利歸屬母公司126億元，EPS從去年同期095元倍增至189元，創近6年同期新高。氣立表示，第二季向來是氣動元件傳統旺季，今年電子消費業、5G相關產業、新能源、智慧工等產業，對氣動元件需求顯著提升，推升氣立第二季及上半年營收及獲利雙雙增長。氣立因電子業及自動化設備需求穩定增長，7月營收194億元，創歷史次高，年增2572％；前七月合併營收1211億元，年成長3447％。氣立表示，在電子產業及自動化設備需求穩定，目前訂單及生產仍維持高檔，預期第三季營收穩定增長，下半年營收可優於去年同期。,44,"[(5, 14, 'ORG', '氣動元件廠台灣氣立'), (101, 105, 'ORG', '富邦證券'), (173, 176, 'ORG', 'eps'), (246, 249, 'ORG', 'eps')]"
日友第3季在台灣醫療廢棄物與北京醫療廢棄物處理嫁動率回溫帶動，法人看好營收及獲利表現都可望優於第2季。展望2021全年度，彰濱二廠產能利用率持續提升、北京潤泰二廠貢獻全年度營運，以及山東日照開始貢獻全年度營運，法人預估，日友今年度營收可望成長15%以上，EPS有機會挑戰9元左右。日友2021年上半年醫療廢棄物營收年增28%，疫情時代醫療廢棄物處理量增加，醫療廢棄物整體嫁動率可望由2020年77%增加至2021年的85~90%，法人預期，2021年醫療廢棄物營收年成長將逼近18%，2022年將維持小幅成長的情形。醫療廢棄處理量計算，日友市占率約35%，以醫療院所家數計算，日友市占率42%，產能維持滿載情況。日友事業廢棄物主要以彰濱廠為主，業務涵蓋焚化、固化與化學處理等，2021年上半年彰濱二廠產能利用率持續提升，但固化與化學處理小幅衰退交互抵消下，法人預估，2021年事業廢棄物營收僅能勉強微幅成長。2022年，在彰濱一二廠焚化產能利用率持續提升至88~90%，其餘固化與化學處理營收呈現持平至微幅成長，預期事業廢棄物營收年成長約5%左右。,46,"[(5, 7, 'ORG', '日友'), (66, 70, 'ORG', '彰濱二廠'), (80, 86, 'ORG', '北京潤泰二廠'), (115, 117, 'ORG', '日友'), (145, 147, 'ORG', '日友'), (351, 355, 'ORG', '彰濱二廠')]"
神基上半年度合併營收為新台幣14912億元，較去年同期之12998億元增加1472%；營業利益為新台幣1194億元，相較去年同期1546億元，減少2281%；歸屬於母公司業主之淨利為新台幣2930億元，相較於去年同期的1157億元，增加15316%；主要係因第二季處分PMD100%股權，處分利益約當新台幣2518億元；每股稅後盈餘為新台幣496元，較去年同期的198元增加15051%。今年以來外資加碼神基，目前持股已逾3成。神基上半年獲利爆增，主要是第2季業外收益高達2579億元的挹注，公司出售PacificMetalDevelopmentsLtd全數股權，處分利益約當2518億元，讓神基業外收益較首季大增63475%。110年第二季單季合併營收為新台幣7669億元，較去年同期之7400億元成長364%；營業利益為新台幣625億元，較去年同期1174億元，減少4674%；歸屬於母公司業主之淨利為新台幣2426億元，較去年同期的882億元增加17513%；第二季單季每股稅後盈餘為新台幣410元，較去年同期的151元增加17152%。,61,"[(5, 7, 'ORG', '神基'), (247, 249, 'ORG', '神基'), (349, 351, 'ORG', '神基')]"
東陽7月自結合併稅前淨利065億元，年減36％；累計前7月合併稅前淨利為526億元，年增23％，每股稅前盈餘為093元。東陽7月合併營收1478億元，年增064％；累計前7月合併營收10454億元，年增9％。塞港的狀況仍在，現在累計約500個櫃位未出貨，但美國客戶的拉貨還是很強勁，目前庫存不到一個月，若下半年塞港的狀況有好轉，可望反映在營收上。雖然東陽逐步將部份模具搬移至美國生產，但比重不大，尚無法反映在營收上。大陸OEM主要客戶為一企集團，占比約OEM營收60％，上半年受車用片缺貨影響，營收動能受阻，下半年車用晶片缺貨影響預期將慢慢緩解，下半年晶片供應可恢復正常，會有遞延效應。,62,"[(5, 7, 'ORG', '東陽'), (65, 67, 'ORG', '東陽')]"
"長榮第2季財報表現強勁，亞系外資最新出爐的報告認為，看好第4季貨櫃航運表現，針對長榮評等由原先「中立」調高至「買進」，目標價由165元調高至185元。長榮預計8月20日召開法說會，說明營運展望。長榮第2季營收達到千億元，季增1113％，年增12786％，營業毛利為54760億元，稅後淨利為42057億元，年增1,21745％，每股盈餘798元，獲利再創史上新高。上半年合併營收為1,89919億元，年增11743％，毛利率5339％，稅後淨利78141億元，年增2,74068％，每股盈餘為1503元。7月進入海運旺季，營收不負期待，單月營收首次突破400億元，達45879億元，續創單月新高；累計今年前7月營收為235798億元，年增率12574％。亞系外資認為，全球運費持續上漲，SCFI運費指數第3季以來季增26％，先前調降長榮評等至中立，主要基於強勁獲利成長動能可能放緩，不過，第3季運費上漲優於預期，看好長榮第4季獲利成長性，並上修今年獲利預估15％，今年每股盈餘調升至3812元，評等由「中立」調高至「買進」。",66,"[(5, 7, 'ORG', '長榮'), (45, 47, 'ORG', '長榮'), (80, 82, 'ORG', '長榮'), (102, 104, 'ORG', '長榮'), (449, 451, 'ORG', '長榮')]"
雖然有缺料困擾，但廣達第二季毛利率以658％創單季歷史新高，在研發費用支出升高、營收規模略減下，營益率未能超越去年同期的歷史新高，但仍以343％創下單季歷史次高，並且是連續第五個季度營益率都達到3％以上，加上第二季業外收入相對高，帶動稅後獲利為7901億元，季增113％、年增264％，EPS為205元，上半年稅後獲利為14998億元，比去年同期大增698％，上半年EPS為389元。,74,"[(14, 16, 'ORG', '廣達')]"
台灣鋼鐵集團旗下專業鋼筋加工與配送通路大廠沛波鋼鐵股份有限公司宣布，第二季營收為新台幣1057億元，較去年同期成長2759%，稅後淨利19306仟元，較去年同期成長275％，累計上半年營收1927億元，較去年同期成長2219%，上半年稅後淨利31973仟元，每股稅後盈餘104元。沛波表示，第二季雖鋼筋需求強勁，鋼價持續創高，營收創下歷年同期新高，但受原料飆漲影響，營業成本上升，致使第二季毛利率較去年同期減少261%，而第二季因國內疫情嚴峻及雨季來臨，以致影響到營建工程施工進度，鋼筋出貨量下降，導致獲利不如預期，公司已自首季起調整接單策略，調整效益將於下半年開始陸續反映。第二季雖本業表現不如預期，但受惠國內股市大漲影響，金融資產評價利益增加，第二季稅後淨利較去年同期增加275%，支撐上半年EPS仍能維持在1元以上的成績。總經理葉俊良表示，美國參議院通過12兆美元基建法案，此基建案是數十年來美國規模最大的公共工程支出，市場預期這項刺激政策的進展將有助於帶動鋼材需求，延長今年鋼價漲勢，受此利多激勵，可望支撐業績維持高檔，對公司展望持樂觀看法。,78,"[(5, 11, 'ORG', '台灣鋼鐵集團'), (26, 36, 'ORG', '沛波鋼鐵股份有限公司'), (388, 393, 'ORG', '美國參議院')]"
LED大廠富采今年第二季受惠於MiniLED放量出貨，轉虧為盈。單季每股淨利103元，並帶動上半年呈現獲利，上半年每股盈餘065元優於法人預期。激勵早盤跳空開高，股價漲停836元。富采第二季營收持續成長，達9364億元，且受惠MiniLED放量出貨，雙率雙升，毛利率達2275%、相比前一季增加91個百分點，營業利益率約678%，本業由虧轉盈，營業淨利635億元，稅後淨利約67億元，每股稅後純益103元。富采第二季營運優於預期，比去年同期轉盈；上半年本業及稅後表現也均順利轉虧為盈。整體上半年歸屬母公司業主淨利為44億元，上半年每股盈餘065元。展望下半年，隨著MiniLED背光應用從平板電腦擴及電視、高階顯示器，法人預期下半年還有表現空間。隨著第一季末起MiniLED放量出貨，富采自今年3月以來營收逐步向上，今年7月營收3335億元、月增159%，創下今年以來單月新高。累計前7個月營收為19579億元。富采今年強攻MiniLED，目前富采在量產方面取得領先，針對中國大陸業者正急起直追。富采表示，公司在良率、品質、專利等各方面仍領先同業一段距離。,80,"[(10, 12, 'ORG', '富采'), (101, 103, 'ORG', '富采'), (224, 226, 'ORG', '富采')]"
林漿紙大廠華紙今日召開線上法說，受惠漿價持穩高檔、紙品漲價轉嫁成本及庫存控管奏效，2021年第二季稅後淨利倍增衝上408億元、每股盈餘037元，創近8年半高點。累計上半年稅後淨利502億元、每股盈餘046元，雙創近11年同期高點。華紙第二季合併營收5741億元，季增482％、年增達2757％，創近2年半高點。毛利率1807％、營益率803％，雙創10年半新高。使歸屬母公司稅後淨利達408億元，季增達33倍、年增達1024倍，每股盈餘037元，創併入永豐餘紙板事業部以來近8年半高點。合計華紙上半年合併營收11218億元、年增達238％，創同期次高。毛利率1488％、營益率511％，分創近11年、近10年同期高點。歸屬母公司稅後淨利502億元、每股盈餘046元，較去年同期虧損081億元、每股虧損007元大幅轉盈，雙創近11年同期高點。華紙代理發言人林冠均表示，受惠漿價持穩高檔、紙品漲價轉嫁成本及庫存控管奏效等3因素帶動，使第二季營收、毛利率及營益率同步續揚。配合採權益法認列轉投資收益挹注，業外收益持穩高檔，使整體獲利成長動能高於營收。,83,"[(10, 12, 'ORG', '華紙'), (124, 126, 'ORG', '華紙'), (247, 255, 'ORG', '永豐餘紙板事業部'), (266, 268, 'ORG', '華紙'), (399, 401, 'ORG', '華紙')]"
晶技7月營收雖然創同期新高，但較6月營微減028％，不過，晶技7月自結稅前獲利仍小幅月增443％、至354億元，稅前EPS115元，未及晶技因為大量認列房地產銷售收入而在4月創下的單月稅前獲利歷史新高377億元，累積前七月稅前獲利為2173億元，稅前EPS為702元。晶技也公布上半年稅後獲利為1552億元，比去年同期激增148倍，EPS為501元，符合上半年賺半個股本的預期，隨著下半年iPhone、筆電新品出貨的傳統旺季來臨，市場認為晶技今年EPS將能輕鬆超過10元，超越日前外資評估的97元。,89,"[(5, 7, 'ORG', '晶技'), (34, 36, 'ORG', '晶技'), (79, 81, 'ORG', '晶技'), (149, 151, 'ORG', '晶技'), (236, 238, 'ORG', '晶技')]"
大成鋼以及轉投資的大國鋼受惠美國鋼市暢旺，兩家公司第二季營運攀高，帶動上半年分別交出EPS達232元、165元的好成績。大成鋼上半年營收46443億元；營業淨利7782億元，歸屬於母公司業主淨利377億元，基本每股盈餘232元，比去年同期由虧轉盈。大成鋼6月營收創新高，為8834億元，並挹注第二季營收創下近255億元的新高紀錄。單季獲利同步攀高，EPS約為144元，比第一季的088元成長約636%。展望下半年，大成鋼預期7月產品報價再上漲約5%，預期年底前仍有續漲的空間，並看好美國工業復甦，需求穩健成長，有助營運持續增溫。法人預期今年業績有機會挑戰新高。大國鋼上半年營收9644億元；營業淨利1849億元，歸屬於母公司業主淨利1692億元，基本每股盈餘165元，比去年同期大增約37倍。大國鋼第一季營收4414億元，每股淨利058元，第二季營收續增，受惠產品漲價，本業獲利同步續增，單季營業淨利達1012億元，加上業外獲利挹注，單季每股淨利達107元新高，也挹注上半年獲利達歷史同期新高，基本每股盈餘達165元，比去年同期的035元增長37倍。,93,"[(5, 8, 'ORG', '大成鋼'), (14, 17, 'ORG', '大國鋼'), (135, 138, 'ORG', '大成鋼'), (224, 227, 'ORG', '大成鋼'), (369, 372, 'ORG', '大國鋼')]"
喬福機械因大陸市場訂單增長，第二季及上半年營收雙雙回升，卻不敵鋼材等原料，以及鑄件、主軸、控制器、滾珠螺桿及線性滑軌等關鍵零件報價上漲，新台幣匯率升值而認列1千多萬元匯損，第二季再度出現虧損，每股虧損017元，不過上半年稅後淨利仍有6194萬元，EPS為007元。喬福第二季營收115億元，營業毛利8166萬元，本業淨損8206萬元，稅前淨損019億元，本期淨損015億元、每股淨損017元。上半年營收233億元，營業毛利04億元，本業淨利8268萬元，稅前淨利6238萬元，本期淨利為6194萬元，EPS回升至007元，優於去年同期每股虧損021元。喬福7月營收021億元，年增182％；前7月營收255億元，年成長6887％，主因是大陸市場成長所致。,98,"[(5, 7, 'ORG', '喬福'), (141, 143, 'ORG', '喬福'), (297, 299, 'ORG', '喬福')]"
中興電工GIS開關等重電事業及統包工程大有斬獲，帶旺第二季及上半年合併營收、獲利及EPS全面改寫同期新高，第二季EPS為068元、上半年EPS攀升至199元，全面改寫同期新高。中興電第二季合併營收4061億元、營業毛利915億元，由於鋼材等原物料成本上漲，毛利率從去年同期2335％降至2252％，本業獲利487億元，稅前淨利418億元、本期淨利321億元，淨利歸屬母公司316億元，EPS由去年同期064元增加至068元。中興電上半年合併營收攀升至8744億元，營業毛利2171億元，本業獲利1245億元，稅前淨利1186億元，本期淨利937億元，淨利歸屬母公司931億元，EPS從去年同期090元倍數增加至199元，全面改寫同期歷史新高。中興電斥資百億元，取得台糖七股土地興建太陽能光電廠標案，第一階段，6月完成181MW太陽能光電廠建置且掛表併聯發電，第二階段原址擴充35MW，預計年底掛表併聯發電，每年電費收入135億元，將成為中興電穩定營收及獲利來源。,99,"[(95, 98, 'ORG', '中興電'), (209, 212, 'ORG', 'eps'), (233, 236, 'ORG', '中興電'),(356, 359, 'ORG', '中興電'), (457, 460, 'ORG', '中興電')]"
吉茂第2季單季稅後淨利036億元，季增48％，由於去年第2季有處分不動一次性收入，比去年同期096億元下降，每股盈餘為054元；累計上半年每股盈餘為091元。吉茂受惠美國市場的競爭對手退出及疫情解封後用車需求增加下，第2季合併營收627億元，創下歷史新高，營業毛利155億元，年增率58％，本業獲利055億元創同期新高。雖受到美元貶值、鋁料價格及航運成本上漲等不利因素影響，但在營收規模大幅成長、產量經濟規模提升及價格調漲於第2季後半陸續反映下，毛利率拉升，上半年毛利率2449％，優於去年同期237％，營業利益093億元，年增389％，大幅超越去年同期，每股盈餘091元。該公司7月營收216億元，持續穩定成長，目前訂單能見度已看到年底，且漲價效應也將於第3季呈現；展望下半年，法人預估全年營收表現將達20億元以上，延續去年雙位數年增率，獲利上挑戰每股盈餘2元以上。,110,[]
晟德受惠資產價值攀升和認列投資利益，帶動上半年稅後淨利達3337億元，每股盈餘以729元，直逼去年全年獲利，並創下歷史同期新高！轉投資大放異彩的晟德，第二季合併財報，獲利來源主要來自於集團核心資產價值持續攀升以及認列益安策略性調節部份子公司達亞國際持股所產生的利益；其中，也包含轉投資基金因科興新冠疫苗獲世界衛生組織批准列入「緊急使用清單」，成長動能看旺所帶來之貢獻。晟德表示，該公司以投資控股模式專注於生技及大健康公司的投資與育成，隨著晟德轉投資陸續開花結果，目前也透過策略性調節持股水位將投資成果「兌現」，產生持續而強勁的現金流，日前處分加科思藥業股份即回收現金約82億。該公司截至6月底止，每股淨值已來到461元，繼投資成果不斷「兌現」，大量現金已陸續回流！晟德表示，鞏固現金流將可加大投資核心事業使集團持續壯大，滾動永續金流與獲利，資產價值得以體現。,115,"[(81, 83, 'ORG', '晟德'), (154, 156, 'ORG', '科興'), (161, 167, 'ORG', '世界衛生組織'), (193, 195, 'ORG', '晟德'), (228, 230, 'ORG', '晟德'), (280, 287, 'ORG', '加科思藥業股份'), (343, 345, 'ORG', '晟德')]"
受惠台商回流、科技廠辦建案增加，手中在建工程已超過300億元，加上預鑄工法利基較高，潤泰集團旗下營造廠潤弘精密上半年稅後淨利805億元，年增3268％，創同期新高，每股稅後盈餘596元，已賺進了半個資本額以上。潤弘今年上半年的營業毛利率高達1485％，比去年同期提升413個百分點。受惠於台商回流、外商也來台加碼投資下，聚陽累計在建工程量已突破300億元大關；另外，集團自有及承攬建案，包括住宅大樓、社會住宅工程、聯合開發等，讓潤弘今年營收獲利成長幅度都是歷年來成長幅度最大的。下半年一向是營造廠傳統旺季，法人指出，第三季若疫情不再惡化，潤弘營收仍可維持年增走勢，第四季再進入全年高峰。依此推估，潤弘今年要賺一個資本額，應該不是問題。,116,"[(12, 15, 'ORG', '科技廠'), (47, 51, 'ORG', '潤泰集團'), (56, 60, 'ORG', '潤弘精密'), (116, 118, 'ORG', '潤弘'), (173, 175, 'ORG', '聚陽'), (227, 229, 'ORG', '潤弘'), (311, 313, 'ORG', '潤弘')]"
保瑞去年底併購加拿大廠所效益顯現，2021年上半年營收新台幣2561億，年增24859%，EPS872元，年增42848%。第2季營收新台幣1194億，年增22975%，EPS254元，年增2175%。保瑞自2013年開始，保瑞併購日本衛采台南廠、2018年併購美國Impax旗下益邦製藥、2020年併購GSK加拿大廠，成功的國際併購策略使保瑞代工外銷全球的藥品得以從15個國家一路成長到100多個國家，也使保瑞的市值從2017年IPO時的新台幣12億，快速成長至現在約新台幣150億。保瑞表示，自去年12月接手GSK加拿大廠，首年主要目標均專注在管理整合與效能提升，將原廠製造廠轉換為CDMO廠。在疫情限制、文化磨合與系統轉換的種種挑戰中，保瑞仍維持穩定的營收表現，獲利達歷史新高，成績優於期待。七月營收因系統轉換因素，出貨仍有遞延，單月營收為338億，保瑞強調，整年度出貨量與營收不受影響，下半年也將配合客戶需求，彈性調整各月份生產與出貨規劃。據調查指出，全球藥品製造將朝向專業分工的趨勢，CDMO每年約有千億美元以上的市場商機，不論是從市場規模或是保瑞的國際併購策略，CDMO業務也是保瑞營收與獲利持續成長的重要關鍵。,120,"[(12, 16, 'ORG', '加拿大廠'), (137, 139, 'ORG', '保瑞'), (141, 148, 'ORG', '日本衛采台南廠'), (169, 173, 'ORG', '益邦製藥'), (201, 205, 'ORG', '保瑞代工')]"
